ID,Topic,English,Hindi,Difficulty,Part of speech,Source type,Dialogue links
hea-085,Health,abdominal pain,पेट दर्द,foundation,term,curated-direct,
hea-086,Health,active ingredient,सक्रिय घटक,advanced,term,curated-direct,
hea-087,Health,administer medicine,दवा देना,intermediate,action,curated-direct,
hea-088,Health,adverse reaction,प्रतिकूल प्रतिक्रिया,advanced,term,curated-direct,
hea-089,Health,allergic reaction,एलर्जी की प्रतिक्रिया,intermediate,term,curated-direct,
hea-090,Health,animal bite,जानवर का काटना,foundation,term,curated-direct,
hea-091,Health,antenatal care,प्रसवपूर्व देखभाल,intermediate,term,curated-direct,
hea-092,Health,blood pressure,रक्तचाप,foundation,term,curated-direct,
hea-093,Health,body temperature,शरीर का तापमान,foundation,term,curated-direct,
hea-094,Health,chronic condition,दीर्घकालिक बीमारी,intermediate,term,curated-direct,
hea-095,Health,dental check-up,दाँतों की जाँच,foundation,term,curated-direct,
hea-096,Health,first aid,प्राथमिक उपचार,foundation,term,curated-direct,dialogue-069
hea-097,Health,follow-up care,अनुवर्ती देखभाल,intermediate,term,curated-direct,
hea-098,Health,generic medicine,जेनेरिक दवा,intermediate,term,curated-direct,
hea-099,Health,gum disease,मसूड़ों की बीमारी,intermediate,term,curated-direct,"dialogue-026,dialogue-041"
hea-100,Health,health assessment,स्वास्थ्य आकलन,intermediate,term,curated-direct,
hea-101,Health,informed consent,सूचित सहमति,advanced,term,curated-direct,
hea-102,Health,medical condition,चिकित्सीय स्थिति,foundation,term,curated-direct,
hea-103,Health,Medicare rebate,मेडिकेयर छूट राशि,intermediate,term,curated-direct,
hea-104,Health,mental health,मानसिक स्वास्थ्य,foundation,term,curated-direct,
hea-105,Health,monitor symptoms,लक्षणों पर नज़र रखना,intermediate,action,curated-direct,
hea-106,Health,nurse practitioner,नर्स प्रैक्टिशनर,advanced,term,curated-direct,
hea-107,Health,postnatal care,प्रसवोत्तर देखभाल,intermediate,term,curated-direct,
hea-108,Health,pregnancy test,गर्भावस्था जाँच,foundation,term,curated-direct,dialogue-059
hea-109,Health,prescribe medicine,दवा लिखना,intermediate,action,curated-direct,dialogue-076
hea-110,Health,preventive care,निवारक देखभाल,intermediate,term,curated-direct,
hea-111,Health,scorpion sting,बिच्छू का डंक,intermediate,term,curated-direct,dialogue-067
hea-112,Health,tooth decay,दाँतों में सड़न,foundation,term,curated-direct,
hea-113,Health,treatment plan,उपचार योजना,intermediate,term,curated-direct,
hea-114,Health,root canal treatment,रूट कैनाल उपचार,advanced,term,curated-direct,
hea-115,Health,seek medical help,चिकित्सीय सहायता लेना,foundation,action,curated-direct,
hea-116,Health,shortness of breath,साँस फूलना,intermediate,term,curated-direct,
hea-117,Health,take a dose,खुराक लेना,foundation,action,curated-direct,dialogue-076
hea-118,Health,termination of pregnancy,गर्भसमापन,advanced,term,curated-direct,
hea-119,Health,anaemia,रक्ताल्पता,intermediate,term,curated-supplemental,
hea-120,Health,asthma,दमा,intermediate,term,curated-supplemental,
hea-121,Health,biopsy,ऊतक जाँच,intermediate,term,curated-supplemental,
hea-122,Health,cardiologist,हृदय रोग विशेषज्ञ,intermediate,term,curated-supplemental,
hea-123,Health,cholesterol,कोलेस्ट्रॉल,intermediate,term,curated-supplemental,
hea-124,Health,contagious,संक्रामक,intermediate,status,curated-supplemental,
hea-125,Health,dermatologist,त्वचा रोग विशेषज्ञ,intermediate,term,curated-supplemental,
hea-126,Health,fracture,हड्डी टूटना,intermediate,term,curated-supplemental,
hea-127,Health,inpatient,भर्ती रोगी,intermediate,term,curated-supplemental,
hea-128,Health,midwife,दाई,intermediate,term,curated-supplemental,
hea-129,Health,outpatient,बाह्य रोगी,intermediate,term,curated-supplemental,
hea-130,Health,physiotherapy,भौतिक चिकित्सा,intermediate,term,curated-supplemental,
hea-131,Health,radiology,रेडियोलॉजी,intermediate,term,curated-supplemental,
hea-132,Health,rehabilitation,पुनर्वास,intermediate,term,curated-supplemental,
hea-133,Health,stitches,टाँके,intermediate,term,curated-supplemental,
hea-134,Health,blood glucose,रक्त शर्करा,intermediate,term,curated-supplemental,
hea-135,Health,cancer screening,कैंसर जाँच,intermediate,term,curated-supplemental,
hea-136,Health,dental care,दंत देखभाल,intermediate,term,curated-supplemental,
hea-137,Health,discharge summary,छुट्टी सारांश,intermediate,term,curated-supplemental,
hea-138,Health,fertility treatment,प्रजनन उपचार,intermediate,term,curated-supplemental,
hea-139,Health,health record,स्वास्थ्य अभिलेख,intermediate,term,curated-supplemental,"dialogue-026,dialogue-041,dialogue-062"
hea-140,Health,hearing test,श्रवण जाँच,intermediate,term,curated-supplemental,
hea-141,Health,hospital admission,अस्पताल में भर्ती,intermediate,term,curated-supplemental,
hea-142,Health,intensive care,गहन देखभाल,intermediate,term,curated-supplemental,
hea-143,Health,MRI scan,एमआरआई स्कैन,intermediate,term,curated-supplemental,
hea-144,Health,occupational therapy,व्यावसायिक चिकित्सा,intermediate,term,curated-supplemental,
hea-145,Health,pathology report,पैथोलॉजी रिपोर्ट,intermediate,term,curated-supplemental,
hea-146,Health,respiratory infection,श्वसन संक्रमण,intermediate,term,curated-supplemental,
hea-147,Health,scan result,स्कैन परिणाम,intermediate,term,curated-supplemental,
hea-148,Health,specialist referral,विशेषज्ञ रेफरल,intermediate,term,curated-supplemental,
hea-149,Health,surgical procedure,शल्य प्रक्रिया,intermediate,term,curated-supplemental,
hea-150,Health,vaccination record,टीकाकरण अभिलेख,intermediate,term,curated-supplemental,dialogue-041
hea-151,Health,waiting list,प्रतीक्षा सूची,intermediate,term,curated-supplemental,
hea-152,Health,wound care,घाव की देखभाल,intermediate,term,curated-supplemental,
hea-153,Health,mental health plan,मानसिक स्वास्थ्य योजना,intermediate,term,curated-supplemental,
hea-154,Health,Medicare claim,मेडिकेयर दावा,intermediate,term,family-application,
hea-155,Health,amend Medicare claim,मेडिकेयर दावा में संशोधन करना,intermediate,action,family-application,
hea-156,Health,approve Medicare claim,मेडिकेयर दावा स्वीकृत करना,intermediate,action,family-application,
hea-157,Health,completed Medicare claim,पूर्ण मेडिकेयर दावा,intermediate,term,family-application,
hea-158,Health,incomplete Medicare claim,अधूरा मेडिकेयर दावा,intermediate,term,family-application,
hea-159,Health,lodge Medicare claim,मेडिकेयर दावा दर्ज करना,intermediate,action,family-application,
hea-160,Health,Medicare claim deadline,मेडिकेयर दावा की अंतिम तिथि,intermediate,term,family-application,
hea-161,Health,Medicare claim fee,मेडिकेयर दावा शुल्क,intermediate,term,family-application,
hea-162,Health,Medicare claim form,मेडिकेयर दावा पत्र,intermediate,term,family-application,
hea-163,Health,Medicare claim outcome,मेडिकेयर दावा का परिणाम,intermediate,term,family-application,
hea-164,Health,Medicare claim requirements,मेडिकेयर दावा की आवश्यकताएँ,intermediate,term,family-application,
hea-165,Health,Medicare claim status,मेडिकेयर दावा की स्थिति,intermediate,term,family-application,
hea-166,Health,online Medicare claim,ऑनलाइन मेडिकेयर दावा,intermediate,term,family-application,
hea-167,Health,paper Medicare claim,कागज़ी मेडिकेयर दावा,intermediate,term,family-application,
hea-168,Health,refuse Medicare claim,मेडिकेयर दावा अस्वीकार करना,intermediate,action,family-application,
hea-169,Health,review Medicare claim,मेडिकेयर दावा की समीक्षा करना,intermediate,action,family-application,
hea-170,Health,submit Medicare claim,मेडिकेयर दावा जमा करना,intermediate,action,family-application,
hea-171,Health,withdraw Medicare claim,मेडिकेयर दावा वापस लेना,intermediate,action,family-application,
hea-172,Health,Medicare claim processing time,मेडिकेयर दावा की प्रक्रिया अवधि,intermediate,term,family-application,
hea-173,Health,Medicare claim reference number,मेडिकेयर दावा संदर्भ संख्या,intermediate,term,family-application,
hea-174,Health,medical appointment,चिकित्सीय अपॉइंटमेंट,intermediate,term,family-appointment,
hea-175,Health,attach medical certificate,चिकित्सा प्रमाणपत्र संलग्न करना,intermediate,action,family-document,
hea-176,Health,attend medical appointment,चिकित्सीय अपॉइंटमेंट में उपस्थित होना,intermediate,action,family-appointment,
hea-177,Health,book medical appointment,चिकित्सीय अपॉइंटमेंट बुक करना,intermediate,action,family-appointment,
hea-178,Health,cancel medical appointment,चिकित्सीय अपॉइंटमेंट रद्द करना,intermediate,action,family-appointment,
hea-179,Health,certified medical certificate,प्रमाणित चिकित्सा प्रमाणपत्र,intermediate,term,family-document,
hea-180,Health,confirm medical appointment,चिकित्सीय अपॉइंटमेंट की पुष्टि करना,intermediate,action,family-appointment,
hea-181,Health,expired medical certificate,समाप्त चिकित्सा प्रमाणपत्र,intermediate,term,family-document,
hea-182,Health,follow-up medical appointment,अनुवर्ती चिकित्सीय अपॉइंटमेंट,intermediate,term,family-appointment,
hea-183,Health,health insurance claim,स्वास्थ्य बीमा दावा,intermediate,term,family-claim,
hea-184,Health,medical appointment confirmation,चिकित्सीय अपॉइंटमेंट की पुष्टि,intermediate,term,family-appointment,
hea-185,Health,medical appointment date,चिकित्सीय अपॉइंटमेंट की तारीख,intermediate,term,family-appointment,
hea-186,Health,medical appointment reminder,चिकित्सीय अपॉइंटमेंट का अनुस्मारक,intermediate,term,family-appointment,
hea-187,Health,medical appointment time,चिकित्सीय अपॉइंटमेंट का समय,intermediate,term,family-appointment,
hea-188,Health,medical certificate checklist,चिकित्सा प्रमाणपत्र जाँच सूची,intermediate,term,family-document,
hea-189,Health,medical certificate verification,चिकित्सा प्रमाणपत्र का सत्यापन,intermediate,term,family-document,
hea-190,Health,missed medical appointment,छूटा हुआ चिकित्सीय अपॉइंटमेंट,intermediate,term,family-appointment,
hea-191,Health,missing medical certificate,लापता चिकित्सा प्रमाणपत्र,intermediate,term,family-document,
hea-192,Health,original medical certificate,मूल चिकित्सा प्रमाणपत्र,intermediate,term,family-document,
hea-193,Health,provide medical certificate,चिकित्सा प्रमाणपत्र प्रदान करना,intermediate,action,family-document,
hea-194,Health,reschedule medical appointment,चिकित्सीय अपॉइंटमेंट का समय बदलना,intermediate,action,family-appointment,
hea-195,Health,supporting medical certificate,सहायक चिकित्सा प्रमाणपत्र,intermediate,term,family-document,
hea-196,Health,upload medical certificate,चिकित्सा प्रमाणपत्र अपलोड करना,intermediate,action,family-document,
hea-197,Health,urgent medical appointment,तत्काल चिकित्सीय अपॉइंटमेंट,intermediate,term,family-appointment,
hea-198,Health,valid medical certificate,वैध चिकित्सा प्रमाणपत्र,intermediate,term,family-document,
hea-199,Health,verify medical certificate,चिकित्सा प्रमाणपत्र सत्यापित करना,intermediate,action,family-document,
hea-200,Health,approved health insurance claim,स्वीकृत स्वास्थ्य बीमा दावा,intermediate,term,family-claim,
hea-201,Health,assess health insurance claim,स्वास्थ्य बीमा दावा का आकलन करना,intermediate,action,family-claim,
hea-202,Health,copy of medical certificate,चिकित्सा प्रमाणपत्र की प्रति,intermediate,term,family-document,
hea-203,Health,health insurance claim assessment,स्वास्थ्य बीमा दावा का आकलन,intermediate,term,family-claim,
hea-204,Health,health insurance claim decision,स्वास्थ्य बीमा दावा पर निर्णय,intermediate,term,family-claim,
hea-205,Health,health insurance claim evidence,स्वास्थ्य बीमा दावा का प्रमाण,intermediate,term,family-claim,
hea-206,Health,health insurance claim form,स्वास्थ्य बीमा दावा पत्र,intermediate,term,family-claim,
hea-207,Health,health insurance claim number,स्वास्थ्य बीमा दावा संख्या,intermediate,term,family-claim,
hea-208,Health,health insurance claim payment,स्वास्थ्य बीमा दावा भुगतान,intermediate,term,family-claim,
hea-209,Health,health insurance claim status,स्वास्थ्य बीमा दावा की स्थिति,intermediate,term,family-claim,
hea-210,Health,lodge health insurance claim,स्वास्थ्य बीमा दावा दर्ज करना,intermediate,action,family-claim,
hea-211,Health,online health insurance claim,ऑनलाइन स्वास्थ्य बीमा दावा,intermediate,term,family-claim,
hea-212,Health,rejected health insurance claim,अस्वीकृत स्वास्थ्य बीमा दावा,intermediate,term,family-claim,
hea-213,Health,review health insurance claim,स्वास्थ्य बीमा दावा की समीक्षा करना,intermediate,action,family-claim,
hea-214,Health,withdraw health insurance claim,स्वास्थ्य बीमा दावा वापस लेना,intermediate,action,family-claim,
hea-215,Health,mental health service,मानसिक स्वास्थ्य सेवा,intermediate,term,family-service,
hea-216,Health,access mental health service,मानसिक स्वास्थ्य सेवा प्राप्त करना,intermediate,action,family-service,
hea-217,Health,contact mental health service,मानसिक स्वास्थ्य सेवा से संपर्क करना,intermediate,action,family-service,
hea-218,Health,mental health service access,मानसिक स्वास्थ्य सेवा तक पहुँच,intermediate,term,family-service,
hea-219,Health,mental health service application,मानसिक स्वास्थ्य सेवा आवेदन,intermediate,term,family-service,
hea-220,Health,mental health service appointment,मानसिक स्वास्थ्य सेवा की अपॉइंटमेंट,intermediate,term,family-service,
hou-001,Housing & tenancy,rent,किराया,,,original-core,
hou-002,Housing & tenancy,rental property,किराये की संपत्ति,,,original-core,
hou-003,Housing & tenancy,tenant,किरायेदार,,,original-core,
hou-004,Housing & tenancy,landlord,मकान मालिक,,,original-core,
hou-005,Housing & tenancy,property manager,संपत्ति प्रबंधक,,,original-core,
hou-006,Housing & tenancy,lease,किरायानामा / पट्टा,,,original-core,
hou-007,Housing & tenancy,rental agreement,किराये का समझौता,,,original-core,
hou-008,Housing & tenancy,bond,सुरक्षा जमा राशि,,,original-core,
hou-009,Housing & tenancy,bond loan,बॉन्ड ऋण,,,original-core,
hou-010,Housing & tenancy,interest-free loan,ब्याज-मुक्त ऋण,,,original-core,
hou-011,Housing & tenancy,security deposit,सुरक्षा जमा,,,original-core,
hou-012,Housing & tenancy,rent in advance,अग्रिम किराया,,,original-core,
hou-013,Housing & tenancy,moving costs,स्थानांतरण का खर्च,,,original-core,
hou-014,Housing & tenancy,eligibility,पात्रता,,,original-core,
hou-015,Housing & tenancy,eligible,पात्र,,,original-core,
hou-016,Housing & tenancy,application form,आवेदन पत्र,,,original-core,
hou-017,Housing & tenancy,supporting document,सहायक दस्तावेज,,,original-core,
hou-018,Housing & tenancy,proof of income,आय का प्रमाण,,,original-core,
hou-019,Housing & tenancy,proof of identity,पहचान का प्रमाण,,,original-core,
hou-020,Housing & tenancy,household,परिवार / एक साथ रहने वाले लोग,,,original-core,
hou-021,Housing & tenancy,bedroom,शयनकक्ष,,,original-core,
hou-022,Housing & tenancy,property size,संपत्ति का आकार,,,original-core,
hou-023,Housing & tenancy,repayment,पुनर्भुगतान,,,original-core,
hou-024,Housing & tenancy,repayment plan,किस्तों में पुनर्भुगतान योजना,,,original-core,
hou-025,Housing & tenancy,housing office,आवास कार्यालय,,,original-core,
hou-026,Housing & tenancy,private rental,निजी किराये का घर,,,original-core,
hou-027,Housing & tenancy,public housing,सरकारी आवास,,,original-core,
hou-028,Housing & tenancy,community housing,सामुदायिक आवास,,,original-core,
hou-029,Housing & tenancy,vacancy,खाली मकान,,,original-core,
hou-030,Housing & tenancy,inspection,निरीक्षण,,,original-core,
hou-031,Housing & tenancy,condition report,संपत्ति की स्थिति रिपोर्ट,,,original-core,
hou-032,Housing & tenancy,damage,नुकसान,,,original-core,
hou-033,Housing & tenancy,repair,मरम्मत,,,original-core,
hou-034,Housing & tenancy,maintenance,रखरखाव,,,original-core,
hou-035,Housing & tenancy,urgent repair,तत्काल मरम्मत,,,original-core,
hou-036,Housing & tenancy,mould,फफूंद,,,original-core,
hou-037,Housing & tenancy,water leak,पानी का रिसाव,,,original-core,
hou-038,Housing & tenancy,heating,हीटिंग / गर्म करने की व्यवस्था,,,original-core,
hou-039,Housing & tenancy,electricity,बिजली,,,original-core,
hou-040,Housing & tenancy,utility bill,उपयोगिता बिल,,,original-core,
hou-041,Housing & tenancy,notice,सूचना / नोटिस,,,original-core,
hou-042,Housing & tenancy,notice period,नोटिस अवधि,,,original-core,
hou-043,Housing & tenancy,eviction,बेदखली,,,original-core,
hou-044,Housing & tenancy,rent increase,किराया वृद्धि,,,original-core,
hou-045,Housing & tenancy,rent reduction,किराये में कमी,,,original-core,
hou-046,Housing & tenancy,arrears,बकाया राशि,,,original-core,
hou-047,Housing & tenancy,overdue rent,समय से न दिया गया किराया,,,original-core,
hou-048,Housing & tenancy,tenancy dispute,किरायेदारी विवाद,,,original-core,
hou-049,Housing & tenancy,mediation,मध्यस्थता,,,original-core,
hou-050,Housing & tenancy,tribunal,अधिकरण / ट्राइब्यूनल,,,original-core,
hou-051,Housing & tenancy,residential tenancy authority,आवासीय किरायेदारी प्राधिकरण,,,original-core,
hou-052,Housing & tenancy,move in,घर में प्रवेश करना,,,original-core,
hou-053,Housing & tenancy,move out,घर खाली करना,,,original-core,
hou-054,Housing & tenancy,suburb,उपनगर,,,original-core,
hou-055,Housing & tenancy,address,पता,,,original-core,
hou-056,Housing & tenancy,inspection appointment,निरीक्षण का समय,,,original-core,
hou-057,Housing & tenancy,shared accommodation,साझा आवास,,,original-core,
hou-058,Housing & tenancy,roommate,साथ रहने वाला व्यक्ति,,,original-core,
hou-059,Housing & tenancy,affordable housing,किफायती आवास,,,original-core,
hou-060,Housing & tenancy,homelessness service,बेघर लोगों की सहायता सेवा,,,original-core,
hou-061,Housing & tenancy,laneway,संकरी गली,foundation,term,curated-direct,dialogue-044
hou-062,Housing & tenancy,renter,किरायेदार,foundation,term,curated-direct,
hou-063,Housing & tenancy,subletting,उपकिरायेदारी,advanced,term,curated-direct,
hou-064,Housing & tenancy,blocked drain,बंद नाली,foundation,term,curated-direct,
hou-065,Housing & tenancy,bond authority,बॉन्ड प्राधिकरण,advanced,term,curated-direct,dialogue-064
hou-066,Housing & tenancy,boundary fence,सीमा बाड़,foundation,term,curated-direct,
hou-067,Housing & tenancy,breach notice,उल्लंघन सूचना,intermediate,term,curated-direct,
hou-068,Housing & tenancy,building inspection,भवन निरीक्षण,foundation,term,curated-direct,
hou-069,Housing & tenancy,building permit,भवन अनुमति,foundation,term,curated-direct,dialogue-018
hou-070,Housing & tenancy,compensation order,मुआवज़ा आदेश,advanced,term,curated-direct,
hou-071,Housing & tenancy,compliance order,अनुपालन आदेश,advanced,term,curated-direct,
hou-072,Housing & tenancy,construction contract,निर्माण अनुबंध,intermediate,term,curated-direct,dialogue-018
hou-073,Housing & tenancy,cracked driveway,दरार वाला रास्ता,foundation,term,curated-direct,dialogue-019
hou-074,Housing & tenancy,entry notice,प्रवेश सूचना,intermediate,term,curated-direct,
hou-075,Housing & tenancy,fencing notice,बाड़ संबंधी सूचना,intermediate,term,curated-direct,
hou-076,Housing & tenancy,fixed-term agreement,निश्चित अवधि का समझौता,intermediate,term,curated-direct,
hou-077,Housing & tenancy,flood damage,बाढ़ से नुकसान,foundation,term,curated-direct,
hou-078,Housing & tenancy,leaking roof,टपकती छत,foundation,term,curated-direct,
hou-079,Housing & tenancy,maintenance request,रखरखाव अनुरोध,foundation,term,curated-direct,
hou-080,Housing & tenancy,minimum standards,न्यूनतम मानक,intermediate,term,curated-direct,
hou-081,Housing & tenancy,move-in date,प्रवेश तिथि,foundation,term,curated-direct,
hou-082,Housing & tenancy,move-out date,निकास तिथि,foundation,term,curated-direct,
hou-083,Housing & tenancy,neighbourhood dispute,पड़ोस विवाद,foundation,term,curated-direct,dialogue-051
hou-084,Housing & tenancy,noise complaint,शोर की शिकायत,foundation,term,curated-direct,
hou-085,Housing & tenancy,non-urgent repair,गैर-तत्काल मरम्मत,intermediate,term,curated-direct,
hou-086,Housing & tenancy,occupancy permit,रहने की अनुमति,advanced,term,curated-direct,
hou-087,Housing & tenancy,periodic agreement,मासिक किराया समझौता,advanced,term,curated-direct,
hou-088,Housing & tenancy,pet permission,पालतू पशु की अनुमति,foundation,term,curated-direct,dialogue-019
hou-089,Housing & tenancy,planning permit,योजना अनुमति,intermediate,term,curated-direct,
hou-090,Housing & tenancy,possession order,कब्ज़ा आदेश,advanced,term,curated-direct,
hou-091,Housing & tenancy,privacy rights,निजता अधिकार,intermediate,term,curated-direct,
hou-092,Housing & tenancy,property damage,संपत्ति की क्षति,foundation,term,curated-direct,dialogue-064
hou-093,Housing & tenancy,property inspection,संपत्ति निरीक्षण,foundation,term,curated-direct,
hou-094,Housing & tenancy,property listing,संपत्ति विज्ञापन,foundation,term,curated-direct,
hou-095,Housing & tenancy,quiet enjoyment,शांतिपूर्ण उपयोग का अधिकार,advanced,term,curated-direct,
hou-096,Housing & tenancy,renovation approval,नवीनीकरण अनुमति,intermediate,term,curated-direct,
hou-097,Housing & tenancy,rent arrears,बकाया किराया,intermediate,term,curated-direct,
hou-098,Housing & tenancy,rent assistance,किराया सहायता,foundation,term,curated-direct,dialogue-064
hou-099,Housing & tenancy,rent receipt,किराये की रसीद,foundation,term,curated-direct,
hou-100,Housing & tenancy,rental application,किराये का आवेदन,foundation,term,curated-direct,dialogue-064
hou-101,Housing & tenancy,rental bond,किराया बॉन्ड,foundation,term,curated-direct,dialogue-064
hou-102,Housing & tenancy,rental dispute,किराया विवाद,foundation,term,curated-direct,
hou-103,Housing & tenancy,rental history,किराये का इतिहास,intermediate,term,curated-direct,
hou-104,Housing & tenancy,rental provider,किराये का मकान देने वाला,intermediate,term,curated-direct,
hou-105,Housing & tenancy,rental reference,किराया संदर्भ,intermediate,term,curated-direct,
hou-106,Housing & tenancy,repair request,मरम्मत अनुरोध,foundation,term,curated-direct,
hou-107,Housing & tenancy,rooming house,कमरा किराये का मकान,intermediate,term,curated-direct,
hou-108,Housing & tenancy,routine inspection,नियमित निरीक्षण,foundation,term,curated-direct,
hou-109,Housing & tenancy,shared fence,साझी बाड़,foundation,term,curated-direct,
hou-110,Housing & tenancy,utility connection,उपयोगिता कनेक्शन,foundation,term,curated-direct,
hou-111,Housing & tenancy,VCAT application,वीकैट आवेदन,intermediate,term,curated-direct,
hou-112,Housing & tenancy,water damage,पानी से नुकसान,foundation,term,curated-direct,
hou-113,Housing & tenancy,weekly rent,साप्ताहिक किराया,foundation,term,curated-direct,
hou-114,Housing & tenancy,written notice,लिखित सूचना,foundation,term,curated-direct,
hou-115,Housing & tenancy,breach of duty,कर्तव्य का उल्लंघन,advanced,term,curated-direct,
hou-116,Housing & tenancy,challenge a notice,सूचना को चुनौती देना,advanced,action,curated-direct,
hou-117,Housing & tenancy,end a tenancy,किरायेदारी समाप्त करना,intermediate,action,curated-direct,dialogue-064
hou-118,Housing & tenancy,entry condition report,प्रवेश स्थिति रिपोर्ट,intermediate,term,curated-direct,
hou-119,Housing & tenancy,exit condition report,निकास स्थिति रिपोर्ट,intermediate,term,curated-direct,
