No,ID,Topic,English phrase,Hindi phrase,Words,Source,Dialogue IDs
74,leg-p-002,legal,A car hit my vehicle and left the scene.,एक कार ने मेरे वाहन को टक्कर मारी और घटनास्थल से चली गई।,9,Core phrase library reviewed before V2.0.5,
75,leg-p-003,legal,Did you see the registration number?,क्या आपने पंजीकरण संख्या देखी?,6,Core phrase library reviewed before V2.0.5,
76,leg-p-004,legal,I could not take a photograph of the number plate.,मैं नंबर प्लेट की फोटो नहीं ले सका/सकी।,10,Core phrase library reviewed before V2.0.5,
77,leg-p-005,legal,I remember that it was a red sedan.,मुझे याद है कि वह लाल रंग की सेडान थी।,8,Core phrase library reviewed before V2.0.5,
78,leg-p-006,legal,Were you or your passenger injured?,क्या आपको या आपके यात्री को चोट लगी?,6,Core phrase library reviewed before V2.0.5,
79,leg-p-007,legal,Please seek medical attention if you feel unwell.,यदि आप अस्वस्थ महसूस करें तो चिकित्सकीय सहायता लें।,8,Core phrase library reviewed before V2.0.5,
80,leg-p-008,legal,We will check nearby CCTV footage.,हम आसपास की सीसीटीवी रिकॉर्डिंग की जाँच करेंगे।,6,Core phrase library reviewed before V2.0.5,
81,leg-p-009,legal,Please do not speculate about the other driver.,कृपया दूसरे चालक के बारे में अनुमान न लगाएँ।,8,Core phrase library reviewed before V2.0.5,
82,leg-p-010,legal,Is your vehicle insured?,क्या आपके वाहन का बीमा है?,4,Core phrase library reviewed before V2.0.5,
83,leg-p-011,legal,I only have third-party insurance.,मेरे पास केवल तृतीय-पक्ष बीमा है।,5,Core phrase library reviewed before V2.0.5,
84,leg-p-012,legal,Contact your insurer as soon as possible.,जितनी जल्दी हो सके अपने बीमा प्रदाता से संपर्क करें।,7,Core phrase library reviewed before V2.0.5,
85,leg-p-013,legal,Keep photographs and repair quotations as evidence.,फोटो और मरम्मत के कोटेशन सबूत के रूप में रखें।,7,Core phrase library reviewed before V2.0.5,
86,leg-p-014,legal,This is your police event number.,यह आपकी पुलिस घटना संख्या है।,6,Core phrase library reviewed before V2.0.5,
87,leg-p-015,legal,We will contact you if we need another statement.,यदि हमें दूसरा बयान चाहिए होगा तो हम आपसे संपर्क करेंगे।,9,Core phrase library reviewed before V2.0.5,
88,leg-p-016,legal,The investigation may take some time.,जाँच में कुछ समय लग सकता है।,6,Core phrase library reviewed before V2.0.5,
89,leg-p-017,legal,Do not contact the suspected driver yourself.,संदिग्ध चालक से स्वयं संपर्क न करें।,7,Core phrase library reviewed before V2.0.5,
90,leg-p-018,legal,You may wish to obtain independent legal advice.,आप स्वतंत्र कानूनी सलाह लेना चाह सकते हैं।,8,Core phrase library reviewed before V2.0.5,
91,leg-p-019,legal,I am very distressed about the repair cost.,मैं मरम्मत के खर्च को लेकर बहुत परेशान हूँ।,8,Core phrase library reviewed before V2.0.5,
92,leg-p-020,legal,Please arrange a tow truck if the car is unsafe.,यदि कार चलाने के लिए सुरक्षित नहीं है तो टो ट्रक की व्यवस्था करें।,10,Core phrase library reviewed before V2.0.5,
93,leg-p-021,legal,Were there any witnesses nearby?,क्या आसपास कोई गवाह था?,5,Core phrase library reviewed before V2.0.5,
94,leg-p-022,legal,Which direction did the other vehicle travel?,दूसरा वाहन किस दिशा में गया?,7,Core phrase library reviewed before V2.0.5,
95,leg-p-023,legal,Thank you for reporting the incident promptly.,घटना की तुरंत रिपोर्ट करने के लिए धन्यवाद।,7,Core phrase library reviewed before V2.0.5,
96,leg-p-024,legal,Please quote this reference number in future enquiries.,भविष्य की पूछताछ में यह संदर्भ संख्या बताएँ।,8,Core phrase library reviewed before V2.0.5,
97,ban-p-001,banking,I would like to open a bank account.,मैं बैंक खाता खोलना चाहता/चाहती हूँ।,8,Core phrase library reviewed before V2.0.5,
98,ban-p-002,banking,Would you like an everyday account or a savings account?,क्या आप दैनिक लेन-देन खाता चाहते हैं या बचत खाता?,10,Core phrase library reviewed before V2.0.5,
99,ban-p-003,banking,I would like to open both accounts.,मैं दोनों खाते खोलना चाहता/चाहती हूँ।,7,Core phrase library reviewed before V2.0.5,
100,ban-p-004,banking,Please provide acceptable identification documents.,कृपया स्वीकार्य पहचान दस्तावेज दें।,5,Core phrase library reviewed before V2.0.5,
101,ban-p-005,banking,We also need proof of your current address.,हमें आपके वर्तमान पते का प्रमाण भी चाहिए।,8,Core phrase library reviewed before V2.0.5,
102,ban-p-006,banking,I can give you a list of suitable documents.,मैं आपको उपयुक्त दस्तावेजों की सूची दे सकता/सकती हूँ।,9,Core phrase library reviewed before V2.0.5,
103,ban-p-007,banking,Do the copies need to be certified?,क्या प्रतियों का प्रमाणित होना आवश्यक है?,7,Core phrase library reviewed before V2.0.5,
104,ban-p-008,banking,The account should be active within two business days.,खाता दो कार्यदिवसों के भीतर सक्रिय हो जाना चाहिए।,9,Core phrase library reviewed before V2.0.5,
105,ban-p-009,banking,I would like to deposit three hundred dollars.,मैं तीन सौ डॉलर जमा करना चाहता/चाहती हूँ।,8,Core phrase library reviewed before V2.0.5,
106,ban-p-010,banking,Please divide the amount equally between the accounts.,कृपया राशि को दोनों खातों में बराबर बाँट दें।,8,Core phrase library reviewed before V2.0.5,
107,ban-p-011,banking,How do I order a cheque book?,मैं चेक बुक कैसे मँगाऊँ?,7,Core phrase library reviewed before V2.0.5,
108,ban-p-012,banking,Complete this request form to order a cheque book.,चेक बुक मँगाने के लिए यह अनुरोध पत्र भरें।,9,Core phrase library reviewed before V2.0.5,
109,ban-p-013,banking,It will be posted to your registered address.,इसे आपके पंजीकृत पते पर डाक से भेजा जाएगा।,8,Core phrase library reviewed before V2.0.5,
110,ban-p-014,banking,Would you like a debit card as well?,क्या आप डेबिट कार्ड भी चाहते हैं?,8,Core phrase library reviewed before V2.0.5,
111,ban-p-015,banking,Your PIN will be provided separately.,आपकी पिन अलग से दी जाएगी।,6,Core phrase library reviewed before V2.0.5,
112,ban-p-016,banking,Please do not share your PIN with anyone.,कृपया अपनी पिन किसी के साथ साझा न करें।,8,Core phrase library reviewed before V2.0.5,
113,ban-p-017,banking,You can register for online banking today.,आप आज ऑनलाइन बैंकिंग के लिए पंजीकरण कर सकते हैं।,7,Core phrase library reviewed before V2.0.5,
114,ban-p-018,banking,There is no monthly fee for this account.,इस खाते पर कोई मासिक शुल्क नहीं है।,8,Core phrase library reviewed before V2.0.5,
115,ban-p-019,banking,Please check the current terms and fees.,कृपया वर्तमान नियम और शुल्क जाँच लें।,7,Core phrase library reviewed before V2.0.5,
116,ban-p-020,banking,This transaction was not authorised by me.,यह लेन-देन मेरी अनुमति से नहीं हुआ।,7,Core phrase library reviewed before V2.0.5,
117,ban-p-021,banking,We will block the card immediately.,हम कार्ड को तुरंत बंद कर देंगे।,6,Core phrase library reviewed before V2.0.5,
118,ban-p-022,banking,A replacement card will be sent to you.,आपको नया कार्ड भेजा जाएगा।,8,Core phrase library reviewed before V2.0.5,
119,ban-p-023,banking,Please quote your account reference number.,कृपया अपना खाता संदर्भ संख्या बताएँ।,6,Core phrase library reviewed before V2.0.5,
120,ban-p-024,banking,Thank you for helping me open the accounts.,खाते खोलने में सहायता करने के लिए धन्यवाद।,8,Core phrase library reviewed before V2.0.5,
121,phr-v205-0001,health,book a medical appointment,चिकित्सकीय अपॉइंटमेंट लेना,4,Topic phrase bank informed by NAATI CCL domains,
122,phr-v205-0002,health,provide your medical history,अपना चिकित्सा इतिहास बताना,4,Topic phrase bank informed by NAATI CCL domains,
123,phr-v205-0003,health,bring the referral letter,रेफरल पत्र साथ लाना,4,Topic phrase bank informed by NAATI CCL domains,
124,phr-v205-0004,health,describe your symptoms clearly,अपने लक्षण स्पष्ट रूप से बताना,4,Topic phrase bank informed by NAATI CCL domains,
125,phr-v205-0005,health,the symptoms are getting worse,लक्षण बिगड़ रहे हैं,5,Topic phrase bank informed by NAATI CCL domains,
126,phr-v205-0006,health,possible side effects,संभावित दुष्प्रभाव,3,Topic phrase bank informed by NAATI CCL domains,
127,phr-v205-0007,health,collect the pathology results,पैथोलॉजी परिणाम प्राप्त करना,4,Topic phrase bank informed by NAATI CCL domains,
128,phr-v205-0008,health,fasting is required,खाली पेट रहना आवश्यक है,3,Topic phrase bank informed by NAATI CCL domains,
129,phr-v205-0009,health,go to the emergency department,आपातकालीन विभाग में जाना,5,Topic phrase bank informed by NAATI CCL domains,
130,phr-v205-0010,health,sign the consent form,सहमति पत्र पर हस्ताक्षर करना,4,Topic phrase bank informed by NAATI CCL domains,
131,phr-v205-0011,health,check the vaccination record,टीकाकरण रिकॉर्ड जाँचना,4,Topic phrase bank informed by NAATI CCL domains,
132,phr-v205-0012,health,arrange a dental check-up,दाँतों की जाँच करवाना,4,Topic phrase bank informed by NAATI CCL domains,
133,phr-v205-0013,health,take pain relief medicine,दर्द निवारक दवा लेना,4,Topic phrase bank informed by NAATI CCL domains,
134,phr-v205-0014,health,attend a follow-up appointment,फॉलो-अप अपॉइंटमेंट में जाना,4,Topic phrase bank informed by NAATI CCL domains,
135,phr-v205-0015,health,private health insurance cover,निजी स्वास्थ्य बीमा कवरेज,4,Topic phrase bank informed by NAATI CCL domains,
136,phr-v205-0016,housing,sign the rental agreement,किराया समझौते पर हस्ताक्षर करना,4,Topic phrase bank informed by NAATI CCL domains,
137,phr-v205-0017,housing,request a bond refund,बॉन्ड वापसी का अनुरोध करना,4,Topic phrase bank informed by NAATI CCL domains,
138,phr-v205-0018,housing,report an urgent repair,तत्काल मरम्मत की सूचना देना,4,Topic phrase bank informed by NAATI CCL domains,
139,phr-v205-0019,housing,complete the condition report,स्थिति रिपोर्ट पूरी करना,4,Topic phrase bank informed by NAATI CCL domains,
140,phr-v205-0020,housing,pay the rent arrears,बकाया किराया चुकाना,4,Topic phrase bank informed by NAATI CCL domains,
141,phr-v205-0021,housing,receive a notice to vacate,मकान खाली करने का नोटिस मिलना,5,Topic phrase bank informed by NAATI CCL domains,
142,phr-v205-0022,housing,arrange a property inspection,संपत्ति निरीक्षण की व्यवस्था करना,4,Topic phrase bank informed by NAATI CCL domains,
143,phr-v205-0023,housing,repair the water leak,पानी का रिसाव ठीक करना,4,Topic phrase bank informed by NAATI CCL domains,
144,phr-v205-0024,housing,remove mould safely,फफूंद सुरक्षित रूप से हटाना,3,Topic phrase bank informed by NAATI CCL domains,
145,phr-v205-0025,housing,challenge a rent increase,किराया वृद्धि को चुनौती देना,4,Topic phrase bank informed by NAATI CCL domains,
146,phr-v205-0026,housing,resolve a tenancy dispute,किरायेदारी विवाद सुलझाना,4,Topic phrase bank informed by NAATI CCL domains,
147,phr-v205-0027,housing,negotiate a payment arrangement,भुगतान व्यवस्था पर सहमति बनाना,4,Topic phrase bank informed by NAATI CCL domains,
148,phr-v205-0028,housing,ask for landlord permission,मकान मालिक से अनुमति माँगना,4,Topic phrase bank informed by NAATI CCL domains,
149,phr-v205-0029,housing,claim moving expenses,स्थानांतरण खर्च का दावा करना,3,Topic phrase bank informed by NAATI CCL domains,
150,phr-v205-0030,housing,find temporary accommodation,अस्थायी आवास ढूँढना,3,Topic phrase bank informed by NAATI CCL domains,
151,phr-v205-0031,education,complete the enrolment form,नामांकन फॉर्म पूरा करना,4,Topic phrase bank informed by NAATI CCL domains,
152,phr-v205-0032,education,pay the course fee,पाठ्यक्रम शुल्क जमा करना,4,Topic phrase bank informed by NAATI CCL domains,
153,phr-v205-0033,education,check the attendance record,उपस्थिति रिकॉर्ड जाँचना,4,Topic phrase bank informed by NAATI CCL domains,
154,phr-v205-0034,education,attend a parent-teacher meeting,अभिभावक-शिक्षक बैठक में जाना,4,Topic phrase bank informed by NAATI CCL domains,
155,phr-v205-0035,education,request learning support,अध्ययन सहायता का अनुरोध करना,3,Topic phrase bank informed by NAATI CCL domains,
156,phr-v205-0036,education,report school bullying,स्कूल में बदमाशी की शिकायत करना,3,Topic phrase bank informed by NAATI CCL domains,
157,phr-v205-0037,education,provide parental consent,अभिभावक की सहमति देना,3,Topic phrase bank informed by NAATI CCL domains,
158,phr-v205-0038,education,apply for childcare subsidy,बाल देखभाल सब्सिडी के लिए आवेदन करना,4,Topic phrase bank informed by NAATI CCL domains,
159,phr-v205-0039,education,confirm the course duration,पाठ्यक्रम अवधि की पुष्टि करना,4,Topic phrase bank informed by NAATI CCL domains,
160,phr-v205-0040,education,meet the entry requirements,प्रवेश आवश्यकताएँ पूरी करना,4,Topic phrase bank informed by NAATI CCL domains,
161,phr-v205-0041,education,receive the assessment result,मूल्यांकन परिणाम प्राप्त करना,4,Topic phrase bank informed by NAATI CCL domains,
162,phr-v205-0042,education,check the class timetable,कक्षा समय-सारणी जाँचना,4,Topic phrase bank informed by NAATI CCL domains,
163,phr-v205-0043,education,renew the library membership,पुस्तकालय सदस्यता नवीनीकृत करना,4,Topic phrase bank informed by NAATI CCL domains,
164,phr-v205-0044,education,request a tuition refund,शिक्षण शुल्क वापसी माँगना,4,Topic phrase bank informed by NAATI CCL domains,
165,phr-v205-0045,education,lodge an academic complaint,शैक्षणिक शिकायत दर्ज करना,4,Topic phrase bank informed by NAATI CCL domains,
166,phr-v205-0046,employment,request a pay rise,वेतन वृद्धि का अनुरोध करना,4,Topic phrase bank informed by NAATI CCL domains,
167,phr-v205-0047,employment,accept an extra shift,अतिरिक्त पाली स्वीकार करना,4,Topic phrase bank informed by NAATI CCL domains,
168,phr-v205-0048,employment,check the overtime rate,ओवरटाइम दर जाँचना,4,Topic phrase bank informed by NAATI CCL domains,
169,phr-v205-0049,employment,change the work roster,कार्य रोस्टर बदलना,4,Topic phrase bank informed by NAATI CCL domains,
170,phr-v205-0050,employment,apply for annual leave,वार्षिक अवकाश के लिए आवेदन करना,4,Topic phrase bank informed by NAATI CCL domains,
171,phr-v205-0051,employment,provide a medical certificate,चिकित्सा प्रमाणपत्र देना,4,Topic phrase bank informed by NAATI CCL domains,
172,phr-v205-0052,employment,sign the employment contract,रोज़गार अनुबंध पर हस्ताक्षर करना,4,Topic phrase bank informed by NAATI CCL domains,
173,phr-v205-0053,employment,complete the probation period,परिवीक्षा अवधि पूरी करना,4,Topic phrase bank informed by NAATI CCL domains,
174,phr-v205-0054,employment,report a workplace injury,कार्यस्थल की चोट की सूचना देना,4,Topic phrase bank informed by NAATI CCL domains,
175,phr-v205-0055,employment,lodge a compensation claim,मुआवज़े का दावा दर्ज करना,4,Topic phrase bank informed by NAATI CCL domains,
176,phr-v205-0056,employment,make a discrimination complaint,भेदभाव की शिकायत करना,4,Topic phrase bank informed by NAATI CCL domains,
177,phr-v205-0057,employment,check the pay slip,वेतन पर्ची जाँचना,4,Topic phrase bank informed by NAATI CCL domains,
178,phr-v205-0058,employment,give notice of resignation,इस्तीफे की सूचना देना,4,Topic phrase bank informed by NAATI CCL domains,
179,phr-v205-0059,employment,prepare for the job interview,नौकरी साक्षात्कार की तैयारी करना,5,Topic phrase bank informed by NAATI CCL domains,
180,phr-v205-0060,employment,complete a reference check,संदर्भ जाँच पूरी करना,4,Topic phrase bank informed by NAATI CCL domains,
181,phr-v205-0061,legal,give a police statement,पुलिस को बयान देना,4,Topic phrase bank informed by NAATI CCL domains,
182,phr-v205-0062,legal,preserve the evidence,सबूत सुरक्षित रखना,3,Topic phrase bank informed by NAATI CCL domains,
183,phr-v205-0063,legal,identify a witness,गवाह की पहचान करना,3,Topic phrase bank informed by NAATI CCL domains,
184,phr-v205-0064,legal,quote the case reference,मामले की संदर्भ संख्या बताना,4,Topic phrase bank informed by NAATI CCL domains,
185,phr-v205-0065,legal,confirm the court date,अदालत की तारीख की पुष्टि करना,4,Topic phrase bank informed by NAATI CCL domains,
186,phr-v205-0066,legal,seek independent legal advice,स्वतंत्र कानूनी सलाह लेना,4,Topic phrase bank informed by NAATI CCL domains,
187,phr-v205-0067,legal,report the theft immediately,चोरी की तुरंत रिपोर्ट करना,4,Topic phrase bank informed by NAATI CCL domains,
188,phr-v205-0068,legal,follow the bail conditions,जमानत की शर्तों का पालन करना,4,Topic phrase bank informed by NAATI CCL domains,
189,phr-v205-0069,legal,show the search warrant,तलाशी वारंट दिखाना,4,Topic phrase bank informed by NAATI CCL domains,
190,phr-v205-0070,legal,verify your identity,अपनी पहचान सत्यापित करना,3,Topic phrase bank informed by NAATI CCL domains,
191,phr-v205-0071,legal,assist with the investigation,जाँच में सहायता करना,4,Topic phrase bank informed by NAATI CCL domains,
192,phr-v205-0072,legal,enter a guilty plea,दोष स्वीकार करना,4,Topic phrase bank informed by NAATI CCL domains,
