Dialogue ID,Library,Title,Segments,V21.3 action,Recent source reported
dialogue-017,Verified Practice,Complaint to VCAT,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-018,Verified Practice,Constructing a House,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-019,Verified Practice,Cracked Driveway,10,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-020,Verified Practice,Customs Issue,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-021,Verified Practice,Delay in Deliveries,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-022,Verified Practice,Delay in Tax Payment,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-023,Verified Practice,Dentist and a Patient,11,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-024,Verified Practice,Discrimination,11,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-025,Verified Practice,Doctor and Patient,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-026,Verified Practice,Pet Obesity,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-027,Verified Practice,Drink Driving Matter,11,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-028,Verified Practice,Electronic Travel Authority Visa,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-029,Verified Practice,Correcting Incorrect Information in an Application,14,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-030,Verified Practice,Fencing,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-031,Verified Practice,Fire Safety Education Program,11,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-032,Verified Practice,Flight Check-In,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-033,Verified Practice,Flight Customer Service,14,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-034,Verified Practice,Flooded House Insurance - Part 1,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-035,Verified Practice,Flooded House Insurance - Part 2,14,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-036,Verified Practice,Fraud call by ATO,15,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-037,Verified Practice,Hit and Run,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-038,Verified Practice,Home Loans,18,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-039,Verified Practice,Hotel Reservation,11,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-040,Verified Practice,Immigration Check,14,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-041,Verified Practice,Immunisation Enquiry,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-042,Verified Practice,Injury Claim,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-043,Verified Practice,Investment,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-044,Verified Practice,Laneway,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-045,Verified Practice,Library Card Issue,11,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-046,Verified Practice,Life Insurance,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-047,Verified Practice,Marriage Bureau,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-048,Verified Practice,Faulty Product / Manufacturing Defect,14,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-049,Verified Practice,Marriage Registration,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-050,Verified Practice,Police Investigation Interview,15,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-051,Verified Practice,Neighbourhood Dispute,14,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-052,Verified Practice,Age Pension Enquiry,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-053,Verified Practice,Opening a Bank Account,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-054,Verified Practice,Onshore Protection Visa,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-055,Verified Practice,Parent Teacher Meeting,9,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-056,Verified Practice,Pay Rise,10,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-057,Verified Practice,Placing an Order,11,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-058,Verified Practice,Police Search of Premises,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-059,Verified Practice,Pregnancy and Abortion,11,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-060,Verified Practice,myki Card Issue,9,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-061,Verified Practice,Purchasing a New Phone,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-062,Verified Practice,Query About Blood Test,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-063,Verified Practice,Renovation,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-064,Verified Practice,Rent Assist Bond Loan,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-065,Verified Practice,Returning a Product,11,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-066,Verified Practice,Restaurant Feedback,14,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-067,Verified Practice,Scorpion Bite,11,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-068,Verified Practice,Income Support During Illness,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-069,Verified Practice,Stiff Neck,16,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-070,Verified Practice,Student's Complaint,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-071,Verified Practice,Temporary Visa,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-072,Verified Practice,Theft,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-073,Verified Practice,Utility Bill,14,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-074,Verified Practice,Victoria Police,15,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-075,Verified Practice,Business Proposal,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-076,Verified Practice,Constipation,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-077,Verified Practice,De facto Visa,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-078,Verified Practice,Hotel Reservation,10,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-079,Verified Practice,ATM / Debit Card Issue,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-080,Verified Practice,Extra Shift,14,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-081,Verified Practice,Australian Citizenship,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-082,Verified Practice,Document Translation,14,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-083,Verified Practice,Fence and Neighbour's Dog,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-084,Verified Practice,Down Syndrome,11,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-085,Verified Practice,Electricity Bill,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-086,Verified Practice,Medicare Claim After a GP Visit,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-087,Verified Practice,Rental Bond Dispute,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-088,Verified Practice,Payslip and Overtime Query,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-089,Verified Practice,Child Care Subsidy Application,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-090,Verified Practice,Driver Licence Address Update,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-091,Verified Practice,Home Insurance Storm Claim,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-092,Verified Practice,Legal Help Appointment,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-093,Verified Practice,Energy Bill Payment Difficulty,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-094,Verified Practice,My Aged Care Assessment,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-095,Verified Practice,Student Visa Supporting Documents,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-096,Verified Practice,Faulty Washing Machine,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-097,Verified Practice,Bank Card Fraud Alert,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-098,Verified Practice,School Enrolment and Language Support,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-099,Verified Practice,GP Referral to a Specialist,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-100,Verified Practice,Work-related Expense Records,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-101,Verified Practice,Workplace Injury Report,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-102,Verified Practice,Lost Wallet Report,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-103,Verified Practice,Public Transport Fine Review,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-104,Verified Practice,Centrelink Change of Circumstances,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-105,Verified Practice,Urgent Rental Repair,10,Protected existing V21.2.1 dialogue; unchanged,No
dialogue-106,Verified Practice,Senior Position After Interview,14,New practice variant for owner-supplied recently reported topic,No
dialogue-107,Verified Practice,New GP Registration and Medical Records,14,New practice variant for owner-supplied recently reported topic,No
original-001,Original Source,Admission in a Course,13,Re-verified/restored against saved first-source/V18 reference,No
original-002,Original Source,Applying for a Job,12,Re-verified/restored against saved first-source/V18 reference,No
original-003,Original Source,Applying for a Truck's License,12,Re-verified/restored against saved first-source/V18 reference,No
original-004,Original Source,ATO Tax Lodgement,13,Re-verified/restored against saved first-source/V18 reference,No
original-005,Original Source,Australian Citizenship,21,Re-verified/restored against saved first-source/V18 reference,No
original-006,Original Source,Bank Robbery,15,Re-verified/restored against saved first-source/V18 reference,No
original-007,Original Source,Bullying at School,13,Re-verified/restored against saved first-source/V18 reference,No
original-008,Original Source,Milk Plant Business,12,Re-verified/restored against saved first-source/V18 reference,No
original-009,Original Source,Buying a Ticket,12,Re-verified/restored against saved first-source/V18 reference,No
original-010,Original Source,Car Insurance for a Student,18,Re-verified/restored against saved first-source/V18 reference,No
original-011,Original Source,Car Insurance,12,Re-verified/restored against saved first-source/V18 reference,No
original-012,Original Source,Catering Booking,11,Re-verified/restored against saved first-source/V18 reference,No
original-013,Original Source,CCTV in School,9,Re-verified/restored against saved first-source/V18 reference,No
original-014,Original Source,Centrelink Carer Payment,17,Re-verified/restored against saved first-source/V18 reference,No
original-015,Original Source,Child Care Subsidy,9,Re-verified/restored against saved first-source/V18 reference,No
original-016,Original Source,Child Care Subsidy 2,12,Re-verified/restored against saved first-source/V18 reference,No
original-017,Original Source,Complaint to VCAT,13,Re-verified/restored against saved first-source/V18 reference,No
original-018,Original Source,Constructing a House,12,Re-verified/restored against saved first-source/V18 reference,No
original-019,Original Source,Cracked Driveway,10,Re-verified/restored against saved first-source/V18 reference,No
original-020,Original Source,Customs Issue,13,Re-verified/restored against saved first-source/V18 reference,No
original-021,Original Source,Delay in Deliveries,12,Re-verified/restored against saved first-source/V18 reference,No
original-022,Original Source,Delay in Tax Payment,13,Re-verified/restored against saved first-source/V18 reference,No
original-023,Original Source,Dentist and a Patient,11,Re-verified/restored against saved first-source/V18 reference,No
original-024,Original Source,Discrimination,11,Re-verified/restored against saved first-source/V18 reference,No
original-025,Original Source,Doctor and Patient,12,Re-verified/restored against saved first-source/V18 reference,No
original-026,Original Source,Dog's Obesity,13,Re-verified/restored against saved first-source/V18 reference,No
original-027,Original Source,Drunk Driver,11,Re-verified/restored against saved first-source/V18 reference,No
original-028,Original Source,Electronic Travel Authority Visa,13,Re-verified/restored against saved first-source/V18 reference,No
original-029,Original Source,False Information,14,Re-verified/restored against saved first-source/V18 reference,No
original-030,Original Source,Fencing,12,Re-verified/restored against saved first-source/V18 reference,No
original-031,Original Source,Fire Ed Program,11,Re-verified/restored against saved first-source/V18 reference,No
original-032,Original Source,Flight Check-In,12,Re-verified/restored against saved first-source/V18 reference,No
original-033,Original Source,Flight Customer Service,14,Re-verified/restored against saved first-source/V18 reference,No
original-034,Original Source,Flooded House Insurance - Part 1,13,Re-verified/restored against saved first-source/V18 reference,No
original-035,Original Source,Flooded House Insurance - Part 2,14,Re-verified/restored against saved first-source/V18 reference,No
original-036,Original Source,Fraud call by ATO,15,Re-verified/restored against saved first-source/V18 reference,No
original-037,Original Source,Hit and Run,12,Re-verified/restored against saved first-source/V18 reference,No
original-038,Original Source,Home Loans,18,Re-verified/restored against saved first-source/V18 reference,No
original-039,Original Source,Hotel Reservation,11,Re-verified/restored against saved first-source/V18 reference,No
original-040,Original Source,Immigration Check,14,Re-verified/restored against saved first-source/V18 reference,No
original-041,Original Source,Immunisation Enquiry,13,Re-verified/restored against saved first-source/V18 reference,No
original-042,Original Source,Injury Claim,13,Re-verified/restored against saved first-source/V18 reference,No
original-043,Original Source,Investment,12,Re-verified/restored against saved first-source/V18 reference,No
original-044,Original Source,Laneway,12,Re-verified/restored against saved first-source/V18 reference,No
original-045,Original Source,Library Card Issue,11,Re-verified/restored against saved first-source/V18 reference,No
original-046,Original Source,Life Insurance,13,Re-verified/restored against saved first-source/V18 reference,No
original-047,Original Source,Marriage Bureau,13,Re-verified/restored against saved first-source/V18 reference,No
original-048,Original Source,Malproduction,14,Re-verified/restored against saved first-source/V18 reference,No
original-049,Original Source,Marriage Registration,12,Re-verified/restored against saved first-source/V18 reference,No
original-050,Original Source,Murder Investigation,15,Re-verified/restored against saved first-source/V18 reference,No
original-051,Original Source,Neighbourhood Dispute,14,Re-verified/restored against saved first-source/V18 reference,No
original-052,Original Source,Old Age Pension,13,Re-verified/restored against saved first-source/V18 reference,No
original-053,Original Source,Opening a Bank Account,12,Re-verified/restored against saved first-source/V18 reference,No
original-054,Original Source,On-shore Protection Visa,13,Re-verified/restored against saved first-source/V18 reference,No
original-055,Original Source,Parent Teacher Meeting,9,Re-verified/restored against saved first-source/V18 reference,No
original-056,Original Source,Pay Rise,10,Re-verified/restored against saved first-source/V18 reference,No
original-057,Original Source,Placing an Order,11,Re-verified/restored against saved first-source/V18 reference,No
original-058,Original Source,Police Raid,12,Re-verified/restored against saved first-source/V18 reference,No
original-059,Original Source,Pregnancy and Abortion,11,Re-verified/restored against saved first-source/V18 reference,No
original-060,Original Source,PTV Myki,9,Re-verified/restored against saved first-source/V18 reference,No
original-061,Original Source,Purchasing a New Phone,13,Re-verified/restored against saved first-source/V18 reference,No
original-062,Original Source,Query About Blood Test,13,Re-verified/restored against saved first-source/V18 reference,No
original-063,Original Source,Renovation,13,Re-verified/restored against saved first-source/V18 reference,No
original-064,Original Source,Rent Assist Bond Loan,12,Re-verified/restored against saved first-source/V18 reference,No
original-065,Original Source,Returning a Product,11,Re-verified/restored against saved first-source/V18 reference,No
original-066,Original Source,Restaurant Feedback,14,Re-verified/restored against saved first-source/V18 reference,No
original-067,Original Source,Scorpion Bite,11,Re-verified/restored against saved first-source/V18 reference,No
original-068,Original Source,Sickness Allowance,12,Re-verified/restored against saved first-source/V18 reference,No
original-069,Original Source,Stiff Neck,16,Re-verified/restored against saved first-source/V18 reference,No
original-070,Original Source,Student's Complaint,12,Re-verified/restored against saved first-source/V18 reference,No
original-071,Original Source,Temporary Visa,12,Re-verified/restored against saved first-source/V18 reference,No
original-072,Original Source,Theft,12,Re-verified/restored against saved first-source/V18 reference,No
original-073,Original Source,Utility Bill,14,Re-verified/restored against saved first-source/V18 reference,No
original-074,Original Source,Victoria Police,15,Re-verified/restored against saved first-source/V18 reference,No
original-075,Original Source,Business Proposal,13,Re-verified/restored against saved first-source/V18 reference,No
original-076,Original Source,Constipation,13,Re-verified/restored against saved first-source/V18 reference,No
original-077,Original Source,De facto Visa,12,Re-verified/restored against saved first-source/V18 reference,No
original-078,Original Source,Hotel Reservation,10,Re-verified/restored against saved first-source/V18 reference,No
original-079,Original Source,ATM Card,13,Re-verified/restored against saved first-source/V18 reference,No
original-080,Original Source,Extra Shift,14,Re-verified/restored against saved first-source/V18 reference,No
original-081,Original Source,Australian Citizenship,12,Re-verified/restored against saved first-source/V18 reference,No
original-082,Original Source,Document Translation,14,Re-verified/restored against saved first-source/V18 reference,No
original-083,Original Source,Fence Dog,12,Re-verified/restored against saved first-source/V18 reference,No
original-084,Original Source,Down Syndrome,11,Re-verified/restored against saved first-source/V18 reference,No
original-085,Original Source,Electricity Bill,12,Re-verified/restored against saved first-source/V18 reference,No
original-086,Original Source,Senior Position Offered After Interview,14,New owner-supplied candidate-reported dialogue; clarity corrections only,Yes
original-087,Original Source,Registering with a Doctor and Transferring Medical Records,14,New owner-supplied candidate-reported dialogue; clarity corrections only,Yes
