dialogue_id,dialogue_title,segment_number,segment_id,direction,source,sample_answer,short_notes,note_skill,meaning_checklist,content_status
dialogue-003,Applying for a Truck's License,8,dialogue-003-s08,Hindi to English,"ज़रूर, तो मेरे पास अभी भी कुछ समय है.और क्या मुझे लाइसेंस लेने के लिए कुछ और भी करना होगा?","Sure, then I still have some time. And do I need to do anything else for attaining this license?",Sure still time | need else attaining lic?,Mark conditions and obligation words; Add ? for the question or request.,Sure still time | need else attaining lic?,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-003,Applying for a Truck's License,9,dialogue-003-s09,English to Hindi,We recommend that you study the current edition of the Victorian Bus and Truck Drivers' Handbook. You have had enough practice so your driving skills are adequate.,हम आपको विक्तोरिअन बुस तथ ट्रक द्रिवेरो की पुस्तिक के वरत्मान सन्स्करन को पध्ने की सलह देन्घे.आपको काफ़ी अनुभव है जिस्के कारण आप गाड़ी चलाने में कुशल हैं.,Victorian Bus Truck Drivers | enough practice driving skills,Capture who + action + key detail; avoid full sentences.,Victorian Bus Truck Drivers | enough practice driving skills,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-003,Applying for a Truck's License,10,dialogue-003-s10,Hindi to English,"ठीक है, मैं आज से ही पध्न शुरू करूँगी.","All good, I will start studying from today only.",good start studying,Mark conditions and obligation words.,good start studying,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-003,Applying for a Truck's License,11,dialogue-003-s11,English to Hindi,"Also, for assessment purposes heavy vehicles will be equipped with cabin technology approved by VicRoads. The practical assessment will now be recorded using audio, video and GPS technology. Both the applicant and assessor will be recorded during the assessment.","इस के इलाव, मूल्यन्कान के लिए, भारि वाहन, विक्रोअद द्वारा प्रमनित कबिन तेच्नोलोज्ञ से लैस किवे जायेन्गे. व्यावहारिक मूल्यान्कन अब औदिओ, विदेओ और GPS तक्नीक द्वारा अभिलेख किया जयेग. मूल्यन्कान के समय दोनो आवेदक और आन्क्लन करने वले का अभिलेख किया जेग.",assessment purposes approved VicRoads | practical assessment recorded GPS | Both applicant assessor recorded,Capture who + action + key detail; avoid full sentences.,assessment purposes approved VicRoads | practical assessment recorded GPS | Both applicant assessor recorded,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-003,Applying for a Truck's License,12,dialogue-003-s12,Hindi to English,जानकारी देने के लिए धन्यवाद.,Thanks a lot for providing the information.,lot providing info,Capture who + action + key detail; avoid full sentences.,lot providing info,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-004,ATO Tax Lodgement,1,dialogue-004-s01,English to Hindi,"Good morning! You have called ATO Australia, this is Samantha, how can I help you today?",नमस्ते! आपने ATO ऑस्ट्रेलिया में सम्परक किया है और मैं समन्थ बात कर रही हूँ. मैं आज आपकी कैसे सहायता कर सकती हूँ?,greeting | called ATO AU Samantha?,Add ? for the question or request.,greeting | called ATO AU Samantha?,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-004,ATO Tax Lodgement,2,dialogue-004-s02,Hindi to English,"नमस्ते अधिकारी,मैंने आपको अप्न कर जमा कर्वाने की लिए संपर्क किया है.मैंने यह पहले कभि नहीं किया.क्या आप कृपया मेरी मदद कर सकती हैं?","Hello officer, I have called you regarding my tax lodgement. I have never done this before. Could you please help me?",Hello officer called tax | never done before | help me?,Mark NOT or × clearly; Add ? for the question or request.,Hello officer called tax | never done before | help me?,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-004,ATO Tax Lodgement,3,dialogue-004-s03,English to Hindi,"Definitely, I can help you with that. Basically, there are two ways you can go with. One of the ways is that you can do it on your own and the second one is that you can get it done from a tax agent.","जी बिल्कुल,मैं इस्मे आपकी सहायता कर सकती हूँ. मूल्य तौर पर, आप दो तरीके अप्न सकती हैं. एक तरीक में आप खुद ही कर सकती हैं और दुस्रे में आप किसी कर प्रतिनिधि के द्वारा कर सकती हैं.",Definitely help | Basically two ways go | One ways second tax,Capture who + action + key detail; avoid full sentences.,Definitely help | Basically two ways go | One ways second tax,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-004,ATO Tax Lodgement,4,dialogue-004-s04,Hindi to English,ठीक है अधिकारी साहिबा. क्या आप कृपया मुझे बता सकती हैं क कौन स तरीक आसान है और इस्मेइन कितना समय लगेग क्योंकि मैं अप्ने कर की वाप्सि जल्द स जल्द चाहती हूँ?,Okay officer. Could you please tell me which one is easier and how long it will take because I want to get my tax return as soon as possible?,Okay officer | me one easier long? | want get tax ASAP?,Add ? for the question or request.,Okay officer | me one easier long? | want get tax ASAP?,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-004,ATO Tax Lodgement,5,dialogue-004-s05,English to Hindi,"l understand your situation. In order to file your tax return, you have to create an account on mygov.com.au and then select tax lodgement option under the home button and follow the instructions and fill in the form.","मैं आपकी स्थिति समझ सकती हूँ.कर की वाप्सि करने के लिए,आपको म्य्गोव.कोम.औ पर एक खाता बनाना होगा और इसके बाद कर लोद्गेमेन्त का विकल्प चुन के जो के होमे बुत्तोन के अधीन होगा.आपको दिये गए निर्देशोन का पालन करना होगा और फिर एक आवेदन पत्त्र भरना होगा.",understand situation | order file tax acct,Capture who + action + key detail; avoid full sentences.,understand situation | order file tax acct,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-004,ATO Tax Lodgement,6,dialogue-004-s06,Hindi to English,"इसके साथ अधिकारी साहिबा, मुझे फ़ॉर्म भर्ने के लिए आवश्यक सुच्न भी बता दें. इस्मेइन कितना समय लग्गेग? मेरा मत्लब, क्या यह प्रक्रिया आसान है?","Along with this officer, tell me the important details I need to fill in that form. How long will it take? l mean, is it an easy process?",Along officer me need | long take? | mean easy process?,Mark conditions and obligation words; Add ? for the question or request.,Along officer me need | long take? | mean easy process?,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-004,ATO Tax Lodgement,7,dialogue-004-s07,English to Hindi,"Don't worry, it is so easy, you just need to fill in all your such details as full name, address, contact number, your bank details, TFN and your group certificate.","आप घब्रयेइन न, यह बहुत ही आसान है,आपको केवल अप्नि निजि सूच्न जैसे क पूर नाम,प्त संपर्क नंबर, बैंक के विवरण, TFN तथ समुह प्रमाण पत्र भर्नि होगी.",need full name addr no.,Mark conditions and obligation words; Write names and identifiers exactly.,need full name addr no.,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-004,ATO Tax Lodgement,8,dialogue-004-s08,Hindi to English,मेरे पास TFN है पर मुझे इस ग्रोउप प्रमाण पत्र के बारे में नहीं प्त.यह क्या है? मुझे यह कहसे और कैसे मिल सकता है?,I have my TFN but I don't know about this group certificate. What is this? Where and how can I get it?,TFN don't know cert | What this? | get?,Add ? for the question or request.,TFN don't know cert | What this? | get?,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-004,ATO Tax Lodgement,9,dialogue-004-s09,English to Hindi,Group certificate means your PAYG payment summary. Every employer provides their employees with PAYG payment summary at the end of every financial year.,समुह प्रमाण पत्र अर्थात आपका PAYG भुगतान क सार.हर मालिक अप्ने कर्म्चरियो को PAYG भुगतान का सार वित्त्य साल के अन्त में प्रदान क्र्त है.,Group cert PAYG pay | Every empr PAYG pay,"Write numbers, dates and times exactly.",Group cert PAYG pay | Every empr PAYG pay,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-004,ATO Tax Lodgement,10,dialogue-004-s10,Hindi to English,"ठीक है! मैं इसके बारे में अप्ने मालिक से पूछ लुन्गि.वैसे,इस में कितना समय लगेग?मैं इसे और विलम्भ नहीं करना चाहती.","Alright! I will ask my employer about it. By the way, how long would it take? I don't want to delay it anymore.",Alright | empr | way long take? | don't want delay anymore,Add ? for the question or request.,Alright | empr | way long take? | don't want delay anymore,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-004,ATO Tax Lodgement,11,dialogue-004-s11,English to Hindi,"To be honest, I don't have any idea. But normally it is your employer's duty to provide the group certificate before their employees ask for it.","सच बतौ, मुझे इसके बारे में बिल्कुल भी ज्ञान नहीं है.प्रन्तु समान्य तौर पर यह आपके मालिक का फ़र्ज़ है क वह आपको समुह प्रमाण पत्र प्रदान करें आपके मान्ग्ने से पहले.",honest don't idea | normally employer's cert before,Capture who + action + key detail; avoid full sentences.,honest don't idea | normally employer's cert before,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-004,ATO Tax Lodgement,12,dialogue-004-s12,Hindi to English,"ठीक हैल अधिकारी साहिबा मेरा आखिरि स्वाल यह है जब मैं कर जमा क्र्वौन्गि,तो कितना समय लगेग कर वाप्सि की राशि को वपिस मेरे खाते में आने के लिए.","Aright! Officer my last question is that when I lodge my tax return, how long does it take to receive money in my account as my tax return.",Aright | Officer last tax acct,Capture who + action + key detail; avoid full sentences.,Aright | Officer last tax acct,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-004,ATO Tax Lodgement,13,dialogue-004-s13,English to Hindi,"Well, it depends when ATO approves your file it usually takes around 2 weeks’ time to process the file and then you receive money in your account.",खैर यह निर्भर कर्त है कब ATO आपकी अर्ज़ि को मन्ज़ूर क्र्त है समान्य तौर पर इस्मे 2 हफ़्ते का समा लग जात है और इसके बाद आपको आपके खाते में राशि मिल जाति है,Well ATO time acct,"Write numbers, dates and times exactly.",Well ATO time acct,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-005,Australian Citizenship,1,dialogue-005-s01,English to Hindi,Good morning! Department of Immigration and Citizenship. How may I help you?,नमस्ते जी! अवास और अप्रवसन नागरिकता विभाग. मैं आप्किकैसे सहायता कर सकती हूँ?,greeting | dept Immigration Citizenship | help?,Mark conditions and obligation words; Add ? for the question or request.,greeting | dept Immigration Citizenship | help?,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-005,Australian Citizenship,2,dialogue-005-s02,Hindi to English,नम्स्ते. मेरे कुछ सवाल है मेरी औस्त्रलिऐ नाग्रित को लेकर.,Hello. I had some questions regarding my Australian citizenship.,Hello | questions regarding AU citizenship,Capture who + action + key detail; avoid full sentences.,Hello | questions regarding AU citizenship,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-005,Australian Citizenship,3,dialogue-005-s03,English to Hindi,Ok Sure. Perhaps you can tell me a bit about yourself.,ज़रूर.शायद आप मुझे आप अप्ने बारे कुछ बता सकते हो.,Ok Sure | Perhaps me bit,Capture who + action + key detail; avoid full sentences.,Ok Sure | Perhaps me bit,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-005,Australian Citizenship,4,dialogue-005-s04,Hindi to English,मेरा नाम परि है और मैं एक भार्ति हाँ.पिच्ले साल देकेम्बेर मैं मैं एक असुत्रलिअयि नाग्रिक लध्के के साथ विवह किया था. हम चर्च कर रहे थे की मुझे अप्नि ऑस्ट्रेलिया की नाग्रिक्त के लिए अवेदन कर देना चाहिए है.पर उन्क कहना है क निग्रिक लध्के के साथ विवह कर्के अप्ने आप हिनग्रिक्त मिल जाति है.,"My name is Pari and I am an Indian. Last year in December l got married to a boy who is an Australian citizen. We were discussing that I should apply for my Australian citizenship .But he says that by marrying a citizen, I automatically get the citizenship.",name Pari Indian | Last year December AU | discussing apply AU citizenship,"Write numbers, dates and times exactly; Mark conditions and obligation words.",name Pari Indian | Last year December AU | discussing apply AU citizenship,Imported and machine-formatted from user material; bilingual review recommended.
