segment_id,dialogue_id,dialogue_title,direction_before,direction_after,old_hindi,new_hindi
original-001-s11,original-001,Admission in a Course,en,en,"जी हाँ। नमान्कन करने के लिए, आपको पहचान के प्रमाण के रूप में हमें एक तस्वीर और अपने पेह्चन दस्तावेज़ की एक प्रतिलिपि प्रदान करनि होगी। इस पाथ्य्क्रम के लिए आपको $2000 का भुगतान करना होगा। आप चाहेन तो मासिक किस्तोन में राशि का भुगतान कर सकती हैं।","जी हाँ। नामांकन के लिए आपको पहचान के प्रमाण के रूप में एक तस्वीर और अपने पहचान-पत्र की एक प्रति देनी होगी। इस पाठ्यक्रम की फीस $2000 है। यदि आप चाहें, तो यह राशि मासिक किस्तों में भी दे सकती हैं।"
original-001-s12,original-001,Admission in a Course,hi,hi,"यह बहुत सुविधाजनक है। ओह। दुर्भाग्य से, मेरे पास अभी अपना पहचान दस्तावेज़ नहीं है। क्या मैं इसे कल ल सकती हूँ।","यह बहुत सुविधाजनक है। दुर्भाग्य से, मेरे पास अभी पहचान-पत्र नहीं है। क्या मैं इसे कल ला सकती हूँ?"
original-001-s13,original-001,Admission in a Course,en,en,कोई चिंता नहीं। आप इसे कल रेकेप्तिओन पर जमा कर्व सकती हैं। क्या आज मैं आपकी कोई और मदद कर सकती हूँ।,कोई बात नहीं। आप इसे कल स्वागत-कक्ष में जमा कर सकती हैं। क्या आज मैं आपकी किसी और बात में सहायता कर सकती हूँ?
original-002-s01,original-002,Applying for a Job,en,en,"नमस्ते, मेरा नाम सिंडी है। ग्रीनपॉज़ डिस्ट्रीब्यूशन में आपका स्वागत है। मैं आपकी कैसे सहायता कर सकती हूँ।","नमस्ते, मेरा नाम सिंडी है। ग्रीनपॉज़ डिस्ट्रीब्यूशन में आपका स्वागत है। मैं आपकी कैसे सहायता कर सकती हूँ?"
original-002-s02,original-002,Applying for a Job,hi,hi,मेरा नाम निशा है। मैंने सुना है कि आपकी कंपनी बढ़ रही है। क्या अभी कोई नौकरी खाली है।,मेरा नाम निशा है। मैंने सुना है कि आपकी कंपनी का विस्तार हो रहा है। क्या इस समय कोई नौकरी खाली है?
original-002-s03,original-002,Applying for a Job,en,en,"हाँ। हमें एक गोदाम सहायक चाहिए, जो पालतू पशुओं के भोजन के ऑर्डर चुने, पैक करे और डिलीवरी तैयार करने में मदद करे।","जी हाँ। हमें गोदाम में एक सहायक चाहिए, जो पालतू पशुओं के भोजन के ऑर्डर चुने, पैक करे और सामान भेजने की तैयारी में मदद करे।"
original-002-s04,original-002,Applying for a Job,hi,hi,यह काम मेरे अनुभव से मेल खाता है। मैंने पाँच साल तक सामान पहुँचाने के साथ उसे चुनने और पैक करने का काम किया है।,यह काम मेरे अनुभव से मेल खाता है। मैंने पाँच साल तक सामान पहुँचाने के साथ-साथ उसे चुनने और पैक करने का काम किया है।
original-002-s05,original-002,Applying for a Job,en,en,यह अनुभव उपयोगी लगता है। क्या आपके पास अद्यतन रिज़्यूमे है और क्या आप ऑस्ट्रेलिया में अपने हाल के काम के बारे में बता सकती हैं।,यह अनुभव उपयोगी लगता है। क्या आपके पास नया रिज़्यूमे है? और क्या आप ऑस्ट्रेलिया में अपने सबसे हाल के काम के बारे में बता सकती हैं?
original-002-s06,original-002,Applying for a Job,hi,hi,"यह मेरा रिज़्यूमे है, लेकिन इसमें हाल की नौकरी नहीं जुड़ी है। मैंने छह महीने सनशाइन फल बाजार में ऑर्डर पैक किए हैं।","यह मेरा रिज़्यूमे है, लेकिन इसमें मेरी हाल की नौकरी शामिल नहीं है। मैंने छह महीने तक सनशाइन फ्रूट मार्केट में ऑर्डर पैक किए हैं।"
original-002-s07,original-002,Applying for a Job,en,en,आवेदन से पहले कृपया वह अनुभव जोड़ें। इससे पता चलेगा कि आप ऑस्ट्रेलियाई कार्यस्थल की अपेक्षाएँ समझती हैं और आपका आवेदन मजबूत होगा।,आवेदन करने से पहले कृपया उस अनुभव को अपने रिज़्यूमे में जोड़ें। इससे पता चलेगा कि आप ऑस्ट्रेलियाई कार्यस्थल की अपेक्षाओं को समझती हैं और आपका आवेदन अधिक मजबूत होगा।
original-002-s08,original-002,Applying for a Job,hi,hi,मैं आज ही रिज़्यूमे अपडेट कर दूँगी। आवेदन की अंतिम तिथि क्या है और मुझे इसे कहाँ भेजना है।,मैं आज ही अपना रिज़्यूमे ठीक कर दूँगी। आवेदन की अंतिम तिथि क्या है और मुझे इसे कहाँ भेजना है?
original-002-s09,original-002,Applying for a Job,en,en,"यह पद अभी विज्ञापित नहीं हुआ है, इसलिए कोई अंतिम तिथि नहीं है। जितनी जल्दी हो सके इस कार्ड के पते पर रिज़्यूमे और कवर लेटर ईमेल करें।","यह पद अभी विज्ञापित नहीं हुआ है, इसलिए फिलहाल कोई अंतिम तिथि नहीं है। जितनी जल्दी हो सके, इस कार्ड पर दिए ईमेल पते पर अपना रिज़्यूमे और कवर लेटर भेज दें।"
original-002-s10,original-002,Applying for a Job,hi,hi,आवेदन भेजने के बाद आगे क्या होगा। क्या मुझे सीधे साक्षात्कार के लिए बुलाया जाएगा।,आवेदन भेजने के बाद आगे क्या होगा? क्या मुझे सीधे साक्षात्कार के लिए बुलाया जाएगा?
original-002-s11,original-002,Applying for a Job,en,en,"मानव संसाधन विभाग सभी आवेदनों की समीक्षा करेगा। केवल चयनित उम्मीदवारों से साक्षात्कार के लिए संपर्क होगा, इसलिए साक्षात्कार की गारंटी नहीं है।","मानव संसाधन विभाग सभी आवेदनों की समीक्षा करेगा। केवल चुने गए उम्मीदवारों से साक्षात्कार के लिए संपर्क किया जाएगा, इसलिए साक्षात्कार की गारंटी नहीं है।"
original-002-s12,original-002,Applying for a Job,hi,hi,समझ गई। मैं दस्तावेज ठीक करके आज शाम आवेदन भेज दूँगी। जानकारी देने के लिए धन्यवाद।,समझ गई। मैं दस्तावेज़ ठीक करके आज शाम ही आवेदन भेज दूँगी। जानकारी देने के लिए धन्यवाद।
original-003-s01,original-003,Applying for a Truck's License,en,en,विरोध मैं संपर्क करने के लिए ध्यन्यवाद। मेरा नाम लुक्य है और मैं आपकी कैसे सहायता कर सकती हूँ।,"विकरोड्स से संपर्क करने के लिए धन्यवाद। मेरा नाम लूसी है। बताइए, आज मैं आपकी कैसे सहायता कर सकती हूँ?"
original-003-s02,original-003,Applying for a Truck's License,hi,hi,"सुभ प्रभत मैडम, मेरा नाम रम्निहै। मुझे ट्रक चलाने का लाइसेंस चाहिए।","सुप्रभात मैडम, मेरा नाम रमनी है। मुझे ट्रक चलाने का लाइसेंस चाहिए।"
original-003-s03,original-003,Applying for a Truck's License,en,en,"जी ज़रूर, भारि वहन का लाइसेंस लेने के लिए आपको सफ़ल्तपूर्वक ज्ञान का मूल्यांकन और व्यावहारिक मूल्यान्कन पूर करना होगा,जिस्मेइन आपका सड़क पर और सड़क के बहर गाड़ी चलाने का कौशल मूल्यान्कन होगा।",जी ज़रूर। भारी वाहन का लाइसेंस लेने के लिए आपको ज्ञान परीक्षा और व्यावहारिक परीक्षा सफलतापूर्वक पूरी करनी होगी। व्यावहारिक परीक्षा में सड़क पर गाड़ी चलाने और सड़क से बाहर के कौशल की जाँच भी शामिल है।
original-003-s04,original-003,Applying for a Truck's License,hi,hi,"ठीक है.वैसे, 6 महीने पहले मुझे भारि वहन मान्यत प्राप्त प्र्दात से एक प्रमाण पत्र मिल था और मैंने सारे अनुखन्द प अर कर लिए है।","ठीक है। वैसे, लगभग छह महीने पहले मुझे मान्यता प्राप्त भारी वाहन प्रशिक्षण प्रदाता से एक प्रमाणपत्र मिला था और मैंने सभी मॉड्यूल पास कर लिए हैं।"
original-003-s05,original-003,Applying for a Truck's License,en,en,"ठीक है, तो भारि वहन का लाइसेंस लेने के लिए, आपने पहचान के प्रमाण के माप्दन्द को पूर किया होगा और सभी निरीक्षनो को पार किया होगा।",ठीक है। इसका अर्थ है कि भारी वाहन लाइसेंस के लिए आपने पहचान संबंधी मापदंड पूरे किए होंगे और सभी आवश्यक परीक्षाएँ पास की होंगी।
original-003-s06,original-003,Applying for a Truck's License,hi,hi,ठीक है। यह परिनाम कितने समय के लिए वैध रहेन्गे।,ठीक है। ये परिणाम कितने समय तक मान्य रहेंगे?
original-003-s07,original-003,Applying for a Truck's License,en,en,"यह मोल्यान्कान 12 महीने के लिए वैध है.जो आवेदक, सक्षम्त का प्रमाण पत्र जारि होने के बाद 12 महीने के भितर इसकी आवशक फ़ीस नहीं भर्त या पहचान के प्रमाण की ज़रूतोन को पूर नहीं कर्त, उसे फिर से निरीस्क्षन के लिए बैथ्न होगा।","यह मूल्यांकन 12 महीने तक मान्य रहता है। योग्यता प्रमाणपत्र जारी होने के 12 महीनों के भीतर यदि आवेदक आवश्यक शुल्क नहीं भरता या पहचान संबंधी शर्तें पूरी नहीं करता, तो उसे परीक्षाएँ दोबारा देनी होंगी।"
original-003-s08,original-003,Applying for a Truck's License,hi,hi,"ज़रूर, तो मेरे पास अभी भी कुछ समय है.और क्या मुझे लाइसेंस लेने के लिए कुछ और भी करना होगा।","अच्छा, तो मेरे पास अभी कुछ समय है। क्या लाइसेंस लेने के लिए मुझे और भी कुछ करना होगा?"
original-003-s09,original-003,Applying for a Truck's License,en,en,हम आपको विक्तोरिअन बुस तथ ट्रक द्रिवेरो की पुस्तिक के वरत्मान सन्स्करन को पध्ने की सलह देन्घे.आपको काफ़ी अनुभव है जिस्के कारण आप गाड़ी चलाने में कुशल हैं।,"हम सलाह देते हैं कि आप विक्टोरियन बस और ट्रक चालक पुस्तिका का वर्तमान संस्करण पढ़ें। आपने पर्याप्त अभ्यास किया है, इसलिए आपके वाहन चलाने के कौशल ठीक होने चाहिए।"
original-003-s10,original-003,Applying for a Truck's License,hi,hi,"ठीक है, मैं आज से ही पध्न शुरू करूँगी।","ठीक है, मैं आज से ही पढ़ाई शुरू कर दूँगी।"
original-003-s11,original-003,Applying for a Truck's License,en,en,"इस के इलाव, मूल्यन्कान के लिए, भारि वाहन, विरोध द्वारा प्रमनित कबिन तेच्नोलोज्ञ से लैस किवे जायेन्गे। व्यावहारिक मूल्यान्कन अब औदिओ, विदेओ और GPS तक्नीक द्वारा अभिलेख किया जयेग। मूल्यन्कान के समय दोनो आवेदक और आन्क्लन करने वले का अभिलेख किया जेग।","इसके अलावा, मूल्यांकन के लिए भारी वाहनों में विकरोड्स द्वारा स्वीकृत केबिन तकनीक लगी होगी। अब व्यावहारिक परीक्षा की ऑडियो, वीडियो और GPS तकनीक से रिकॉर्डिंग की जाएगी। परीक्षा के दौरान आवेदक और मूल्यांकनकर्ता, दोनों रिकॉर्ड किए जाएँगे।"
original-003-s12,original-003,Applying for a Truck's License,hi,hi,जानकारी देने के लिए धन्यवाद।,जानकारी देने के लिए बहुत धन्यवाद।
original-004-s01,original-004,ATO Tax Lodgement,en,en,नमस्ते। आपने ATO ऑस्ट्रेलिया में सम्परक किया है और मैं समन्थ बात कर रही हूँ। मैं आज आपकी कैसे सहायता कर सकती हूँ।,"सुप्रभात! आपने ऑस्ट्रेलियाई कर कार्यालय, यानी ATO से संपर्क किया है। मैं सामंथा बोल रही हूँ। बताइए, आज मैं आपकी कैसे सहायता कर सकती हूँ?"
original-004-s02,original-004,ATO Tax Lodgement,hi,hi,"नमस्ते अधिकारी,मैंने आपको अपना कर जमा कर्वाने की लिए संपर्क किया है.मैंने यह पहले कभि नहीं किया.क्या आप कृपया मेरी मदद कर सकती हैं।",नमस्ते अधिकारी महोदया। मैंने कर रिटर्न जमा करने के बारे में जानकारी लेने के लिए फोन किया है। मैंने यह पहले कभी नहीं किया। क्या आप कृपया मेरी सहायता कर सकती हैं?
original-004-s03,original-004,ATO Tax Lodgement,en,en,"जी बिल्कुल,मैं इस्मे आपकी सहायता कर सकती हूँ। मूल्य तौर पर, आप दो तरीके अपना सकती हैं। एक तरीक में आप खुद ही कर सकती हैं और दुस्रे में आप किसी कर प्रतिनिधि के द्वारा कर सकती हैं।","जी बिल्कुल, मैं आपकी सहायता कर सकती हूँ। मुख्य रूप से दो तरीके हैं। आप अपना कर रिटर्न स्वयं जमा कर सकती हैं या किसी कर एजेंट से यह काम करवा सकती हैं।"
original-004-s04,original-004,ATO Tax Lodgement,hi,hi,ठीक है अधिकारी साहिबा। क्या आप कृपया मुझे बता सकती हैं क कौन स तरीक आसान है और इस्मेइन कितना समय लगेग क्योंकि मैं अपने कर की वाप्सि जल्द स जल्द चाहती हूँ।,ठीक है अधिकारी महोदया। कृपया बताइए कि इनमें से कौन-सा तरीका आसान है और इसमें कितना समय लगेगा? मैं अपना कर रिफंड जल्द से जल्द पाना चाहती हूँ।
original-004-s05,original-004,ATO Tax Lodgement,en,en,"मैं आपकी स्थिति समझ सकती हूँ.कर की वाप्सि करने के लिए,आपको म्य्गोव.कोम.औ पर एक खाता बनाना होगा और इसके बाद कर लोद्गेमेन्त का विकल्प चुन के जो के होमे बुत्तोन के अधीन होगा.आपको दिये गए निर्देशोन का पालन करना होगा और फिर एक आवेदन पत्त्र भरना होगा।",मैं आपकी स्थिति समझती हूँ। कर रिटर्न जमा करने के लिए आपको myGov पर खाता बनाना होगा। फिर कर जमा करने का विकल्प चुनकर दिए गए निर्देशों का पालन करें और आवश्यक विवरण भरें।
original-004-s06,original-004,ATO Tax Lodgement,hi,hi,"इसके साथ अधिकारी साहिबा, मुझे फ़ॉर्म भर्ने के लिए आवश्यक सुच्न भी बता दें। इस्मेइन कितना समय लग्गेग। मेरा मत्लब, क्या यह प्रक्रिया आसान है।","इसके साथ ही अधिकारी महोदया, कृपया यह भी बताइए कि उस फ़ॉर्म में कौन-कौन सी जानकारी भरनी होगी। इसमें कितना समय लगेगा? मेरा मतलब है, क्या यह प्रक्रिया आसान है?"
original-004-s07,original-004,ATO Tax Lodgement,en,en,"आप घब्रयेइन न, यह बहुत ही आसान है,आपको केवल अपनी निजि सूच्न जैसे क पूर नाम,प्त संपर्क नंबर, बैंक के विवरण, TFN तथ समुह प्रमाण पत्र भर्नि होगी।","घबराइए नहीं, यह काफी आसान है। आपको अपना पूरा नाम, पता, संपर्क नंबर, बैंक का विवरण, TFN और समूह प्रमाणपत्र जैसी जानकारी भरनी होगी।"
original-004-s08,original-004,ATO Tax Lodgement,hi,hi,मेरे पास TFN है पर मुझे इस ग्रोउप प्रमाण पत्र के बारे में नहीं प्त.यह क्या है। मुझे यह कहसे और कैसे मिल सकता है।,"मेरे पास TFN है, लेकिन मुझे समूह प्रमाणपत्र के बारे में जानकारी नहीं है। यह क्या होता है? मुझे यह कहाँ से और कैसे मिल सकता है?"
original-004-s09,original-004,ATO Tax Lodgement,en,en,समुह प्रमाण पत्र अर्थात आपका PAYG भुगतान क सार.हर मालिक अपने कर्म्चरियो को PAYG भुगतान का सार वित्त्य साल के अन्त में प्रदान क्र्त है।,समूह प्रमाणपत्र से मतलब आपके PAYG भुगतान सारांश से है। आम तौर पर नियोक्ता प्रत्येक वित्तीय वर्ष के अंत में कर्मचारियों को PAYG भुगतान सारांश देता है।
original-004-s10,original-004,ATO Tax Lodgement,hi,hi,"ठीक है। मैं इसके बारे में अपने मालिक से पूछ लुन्गि.वैसे,इस में कितना समय लगेग?मैं इसे और विलम्भ नहीं करना चाहती।","ठीक है! मैं इसके बारे में अपने नियोक्ता से पूछ लूँगी। वैसे, इसमें कितना समय लगेगा? मैं अब और देरी नहीं करना चाहती।"
original-004-s11,original-004,ATO Tax Lodgement,en,en,"सच बतौ, मुझे इसके बारे में बिल्कुल भी ज्ञान नहीं है.प्रन्तु समान्य तौर पर यह आपके मालिक का फ़र्ज़ है क वह आपको समुह प्रमाण पत्र प्रदान करें आपके मान्ग्ने से पहले।",सच कहूँ तो मुझे ठीक समय का पता नहीं है। सामान्य तौर पर यह नियोक्ता की जिम्मेदारी है कि कर्मचारी के माँगने से पहले ही उसे यह प्रमाणपत्र दे दिया जाए।
original-004-s12,original-004,ATO Tax Lodgement,hi,hi,"ठीक हैल अधिकारी साहिबा मेरा आखिरि स्वाल यह है जब मैं कर जमा क्र्वौन्गि,तो कितना समय लगेग कर वाप्सि की राशि को वपिस मेरे खाते में आने के लिए।","ठीक है अधिकारी महोदया, मेरा आखिरी सवाल है। जब मैं कर रिटर्न जमा कर दूँगी, तो कर रिफंड की राशि मेरे खाते में आने में कितना समय लगेगा?"
original-004-s13,original-004,ATO Tax Lodgement,en,en,खैर यह निर्भर कर्त है कब ATO आपकी अर्ज़ि को मन्ज़ूर क्र्त है समान्य तौर पर इस्मे 2 हफ़्ते का समा लग जात है और इसके बाद आपको आपके खाते में राशि मिल जाति है,यह ATO द्वारा आपकी फ़ाइल मंज़ूर किए जाने पर निर्भर करता है। सामान्य तौर पर प्रक्रिया में लगभग दो सप्ताह लगते हैं और उसके बाद राशि आपके खाते में आ जाती है।
original-005-s01,original-005,Australian Citizenship,en,en,नमस्ते जी। अवास और अप्रवसन नागरिकता विभाग। मैं आप्किकैसे सहायता कर सकती हूँ।,"सुप्रभात! आप आप्रवासन और नागरिकता विभाग से बात कर रहे हैं। बताइए, मैं आपकी कैसे सहायता कर सकती हूँ?"
original-005-s02,original-005,Australian Citizenship,hi,hi,नम्स्ते। मेरे कुछ सवाल है मेरी औस्त्रलिऐ नाग्रित को लेकर।,नमस्ते। ऑस्ट्रेलियाई नागरिकता के बारे में मेरे कुछ सवाल हैं।
original-005-s03,original-005,Australian Citizenship,en,en,ज़रूर.शायद आप मुझे आप अपने बारे कुछ बता सकते हो।,"जी, ज़रूर। शायद आप पहले अपने बारे में थोड़ी जानकारी बता सकती हैं।"
original-005-s04,original-005,Australian Citizenship,hi,hi,मेरा नाम परि है और मैं एक भार्ति हाँ.पिछले साल दिसंबर मैं मैं एक असुत्रलिअयि नाग्रिक लध्के के साथ विवह किया था। हम चर्च कर रहे थे की मुझे अपनी ऑस्ट्रेलिया की नागरिकता के लिए अवेदन कर देना चाहिए है.पर उन्क कहना है क निग्रिक लध्के के साथ विवह कर्के अपने आप हिनग्रिक्त मिल जाति है।,"मेरा नाम परी है और मैं भारतीय हूँ। पिछले साल दिसंबर में मेरा विवाह एक ऑस्ट्रेलियाई नागरिक से हुआ था। हम बात कर रहे थे कि मुझे ऑस्ट्रेलियाई नागरिकता के लिए आवेदन करना चाहिए, लेकिन उनका कहना है कि किसी ऑस्ट्रेलियाई नागरिक से विवाह करने पर नागरिकता अपने आप मिल जाती है।"
original-005-s05,original-005,Australian Citizenship,en,en,"हन्ज, आप ठीक हो औस्त्र्लिअन नाग्रिक के साथियन को स्वेचालिक अधिकार नहीं है ऑस्ट्रेलियान नागरिकता का। आपको इस के लिए आवेदन करना पधेग और योग्त के माप्दन्द को पूर कर्म पदेग बाकि के बालिग आवेदको की त्रह।","जी, ऑस्ट्रेलियाई नागरिकों के जीवनसाथी को ऑस्ट्रेलियाई नागरिकता अपने आप नहीं मिलती। उन्हें भी अन्य वयस्क आवेदकों की तरह आवेदन करना होता है और पात्रता की शर्तें पूरी करनी होती हैं।"
original-005-s06,original-005,Australian Citizenship,hi,hi,जी मैं समज्ति हूँ क यहान की नागरिकता लेने के लिए मुझे भर्ति नागरिकता चोर्नि पदेगि.मुझे थोद दुख है क्योंकि मैं उधर की जमि पलि हूँ। मैं विचार कर्के ही किसी नत्तेजे पर पौन्चुन्गि।,"जी, मैं समझती हूँ कि यहाँ की नागरिकता लेने के लिए मुझे अपनी भारतीय नागरिकता छोड़नी पड़ सकती है। मुझे थोड़ा दुख है, क्योंकि मैं वहीं जन्मी और पली-बढ़ी हूँ। मैं अच्छी तरह सोचकर ही कोई निर्णय लूँगी।"
original-005-s07,original-005,Australian Citizenship,en,en,खैर। मैं अपनी पूरि कोशिश करुन्घि आपके सारे स्वलो का जवाब देने के लिए।,"ठीक है। आपके जो भी सवाल हैं, मैं उनका उत्तर देने की पूरी कोशिश करूँगी।"
original-005-s08,original-005,Australian Citizenship,hi,hi,"खैर, यदि मुझे नागरिकता लेनि हो तो उसकी क्या आव्शक्तावेइन होन्गि।","अगर मुझे नागरिकता लेनी हो, तो उसके लिए क्या-क्या आवश्यकताएँ हैं?"
original-005-s09,original-005,Australian Citizenship,en,en,"खैर। एक ऑस्ट्रेलियान नाग्रिक होने के नाते, बहुत सारि ज़रूर्तेइन है जो अपने पूरि कर्निय होन्गि.सब से पहले, आपको ऑस्ट्रेलियान कानून की पाल्न करनी होगी.दूस्र, आपको औस्त्रलि की रक्ष करनी पदेगि अगर ज़रूरत पध्ति है.तीस्र, आपको जुर्य की सेवा देनि पदेगि अगर आपको बुलाय जात है और सब से ज़रूरी आपको मत्दान करना पदेग","ऑस्ट्रेलियाई नागरिक बनने पर कुछ जिम्मेदारियाँ होती हैं। आपको ऑस्ट्रेलियाई कानूनों का पालन करना होगा, आवश्यकता पड़ने पर ऑस्ट्रेलिया की रक्षा करनी होगी, बुलाए जाने पर जूरी में सेवा देनी होगी और सबसे महत्वपूर्ण, मतदान करना होगा।"
